財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
342,特定非営利活動法人　胸部腫瘍臨床研究機構,91.1,5千万～,1.2,1.4,0.5,0.7,0.0,89.7,90.7,5,2016,,横浜市,保健・医療・福祉
343,特定非営利活動法人STORIA,90.0,5千万～,19.4,21.5,19.3,0.1,19.0,50.6,83.3,,2024,○,仙台市,保健・医療・福祉、社会教育、地域安全、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
344,ハビタット・フォー・ヒューマニティ・ジャパン,89.9,5千万～,56.3,62.7,54.4,1.9,0.0,27.9,117.2,,unknown,○,東京都,まちづくり、災害救援、国際協力・交流
345,特定非営利活動法人　教育活動総合サポートセンター,89.8,5千万～,6.7,7.5,6.2,0.5,11.7,70.9,99.0,,2024,○,川崎市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
346,NPO法人グッドライフ,89.7,5千万～,89.7,100.0,89.7,0.0,0.0,0.0,89.3,,2024,○,大阪府,社会教育、環境の保全、子どもの健全育成
347,バディチーム,89.5,5千万～,0.0,0.0,0.0,0.0,0.0,0.0,83.6,,unknown,○,東京都,保健・医療・福祉、社会教育、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
348,ひなたぼっこ,89.5,5千万～,0.2,0.2,0.0,0.2,0.0,89.3,0.0,31,2016,,静岡県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会、NPO支援
349,特定非営利活動法人みどりの杜福祉会いわきワイナリー,89.4,5千万～,0.7,0.7,0.3,0.3,56.7,27.7,83.8,14,2017,○,福島県,保健・医療・福祉、社会教育、人権の擁護・平和、職業能力・雇用機会
350,特定非営利活動法人　市民セクターよこはま,89.0,5千万～,0.3,0.3,0.1,0.2,1.2,87.5,93.5,,2024,○,横浜市,保健・医療・福祉、まちづくり、人権の擁護・平和、NPO支援
351,特定非営利活動法人リカバリーサポートセンターACTIPS,88.8,5千万～,0.7,0.8,0.4,0.3,0.0,88.0,82.8,,2023,○,千葉県,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、国際協力・交流、子どもの健全育成、情報化社会、職業能力・雇用機会、NPO支援
352,ＮＰＯ法人　ワークショップひなたぼっこ,88.4,5千万～,0.6,0.7,0.6,0.0,0.5,85.0,89.3,,2024,○,熊本県,保健・医療・福祉、社会教育、人権の擁護・平和、男女共同参画、子どもの健全育成、職業能力・雇用機会
353,アニマルライツセンター,88.2,5千万～,18.7,21.2,14.4,4.3,23.5,0.0,33.8,,unknown,○,東京都,社会教育、環境の保全
354,立川マック,87.6,5千万～,0.0,0.0,0.0,0.0,0.0,80.1,80.8,4,2023,,東京都,保健・医療・福祉、社会教育、NPO支援
355,特定非営利活動法人シミンズシーズ,87.5,5千万～,0.6,0.6,0.3,0.3,7.9,78.9,80.8,12,2011,,兵庫県,社会教育、まちづくり、職業能力・雇用機会、NPO支援
356,特定非営利活動法人日本高血圧協会,87.4,5千万～,1.5,1.7,1.3,0.1,0.0,84.7,85.3,0,2024,,大阪市,保健・医療・福祉、国際協力・交流、NPO支援
357,特定非営利活動法人  ケアセンター介護福祉士会,86.9,5千万～,0.0,0.0,0.0,0.0,0.0,86.6,91.9,9,2024,,川崎市,保健・医療・福祉
358,バードリサーチ,86.7,5千万～,6.5,7.5,3.9,2.6,7.8,72.5,83.8,,unknown,○,東京都,学術・文化・芸術・スポーツ、環境の保全、情報化社会、科学技術、NPO支援
359,特定非営利活動法人竹光自立支援センター,86.5,5千万～,0.0,0.0,0.0,0.0,0.0,65.3,77.3,4,2022,,大阪市,保健・医療・福祉、職業能力・雇用機会
360,特定非営利活動法人村のぱん屋・ＳＵＮ,86.4,5千万～,0.2,0.3,0.1,0.1,0.2,85.7,0.0,8,2018,,福岡県,保健・医療・福祉
361,生態工房,86.1,5千万～,1.5,1.8,0.9,0.6,1.6,82.8,73.9,,unknown,○,東京都,社会教育、環境の保全、子どもの健全育成
362,特定非営利活動法人マーズ,85.9,5千万～,0.0,0.0,0.0,0.0,0.0,85.4,79.5,15,2018,,沖縄県,保健・医療・福祉、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、職業能力・雇用機会
363,特定非営利活動法人コムサロン二十一,85.3,5千万～,7.1,8.4,1.5,5.6,1.7,76.4,82.6,,2024,○,兵庫県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
364,中部リサイクル運動市民の会,85.2,5千万～,1.4,1.6,0.5,0.9,7.4,76.3,9.3,4,2018,○,名古屋市,保健・医療・福祉、まちづくり、環境の保全、災害救援、国際協力・交流、NPO支援
365,ハートツリー,85.0,5千万～,1.1,1.3,1.1,0.0,1.3,82.3,80.3,,2024,○,和歌山県,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、地域安全、人権の擁護・平和、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
366,日本スポーツアカデミー,84.7,5千万～,2.4,2.8,2.4,0.0,0.0,0.0,0.0,,2024,,東京都,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、環境の保全、人権の擁護・平和、国際協力・交流、子どもの健全育成、情報化社会、科学技術、職業能力・雇用機会、NPO支援
367,特定非営利活動法人アジアチャイルドサポート,84.7,5千万～,84.4,99.7,24.0,60.4,0.0,0.2,115.0,,2024,○,沖縄県,保健・医療・福祉、社会教育、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、子どもの健全育成、職業能力・雇用機会、NPO支援
368,特定非営利活動法人　コロンブスアカデミー,84.5,5千万～,3.6,4.3,3.0,0.6,55.3,21.8,84.2,,2024,○,横浜市,社会教育、子どもの健全育成
369,認定特定非営利活動法人　長崎ＯＭＵＲＡ室内合奏団,84.5,5千万～,1.2,1.4,1.2,0.0,33.6,14.5,85.2,,2024,○,長崎県,社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成
370,特定非営利活動法人わくわくライフステージ,84.4,5千万～,40.2,47.6,40.1,0.0,1.3,79.0,88.0,19,2021,,高知県,保健・医療・福祉、まちづくり、環境の保全、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
371,災害医療ＡＣＴ研究所,84.3,5千万～,6.8,8.0,6.6,0.2,54.0,23.6,75.2,,2024,○,宮城県,保健・医療・福祉、災害救援、NPO支援
372,室蘭文化センター,84.2,5千万～,0.0,0.0,0.0,0.0,0.0,81.7,81.8,4,2021,,北海道,社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成
373,アクティブボランティア21,83.9,5千万～,12.9,15.4,12.9,0.0,0.0,70.5,91.8,,2024,○,愛媛県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、国際協力・交流、子どもの健全育成、職業能力・雇用機会、NPO支援
374,人と動物の共生センター,83.5,5千万～,14.2,17.0,13.4,0.8,21.1,48.1,72.6,,2024,○,岐阜県,社会教育、まちづくり、環境の保全、災害救援、子どもの健全育成、NPO支援
375,特定非営利活動法人ウェル・クラフト,83.4,5千万～,0.2,0.3,0.2,0.0,1.4,81.7,0.0,,2024,○,京都市,保健・医療・福祉、経済活動の活性化、職業能力・雇用機会
376,特定非営利活動法人クローバー・サービス,83.4,5千万～,0.8,0.9,0.3,0.5,0.2,82.4,82.5,11,2024,,京都府,保健・医療・福祉、社会教育、子どもの健全育成、NPO支援
377,特定非営利活動法人Nature Service,83.3,5千万～,0.0,0.0,0.0,0.0,0.0,83.3,7.9,0,2023,,埼玉県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
378,川内スポーツクラブ０１,82.9,5千万～,17.9,21.6,0.0,17.9,0.0,65.0,75.2,,2011,,鹿児島県,保健・医療・福祉、学術・文化・芸術・スポーツ
379,特定非営利活動法人ソキウスせんだい,82.9,5千万～,0.2,0.3,0.1,0.2,75.4,7.0,82.1,13,2017,,仙台市,保健・医療・福祉、社会教育、まちづくり
380,富山県民ボランティア総合支援センター,82.7,5千万～,1.3,1.6,1.3,0.0,81.4,0.0,82.5,,2024,○,富山県,NPO支援
381,特定非営利活動法人アフタースクールぱるけ,82.6,5千万～,0.7,0.8,0.2,0.4,1.0,80.2,88.9,,2024,○,仙台市,保健・医療・福祉、まちづくり、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、職業能力・雇用機会
382,特定非営利活動法人ネットワークながた,82.5,5千万～,0.0,0.1,0.0,0.0,2.5,79.7,79.4,12,2023,,神戸市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、人権の擁護・平和、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
383,うぇりんぐケアセンター宮崎,82.3,5千万～,0.9,1.1,0.7,0.2,0.5,80.9,83.7,19,2019,,宮崎県,保健・医療・福祉
384,特定非営利活動法人Ｄｉｇｉｔａｌ北海道研究会,81.5,5千万～,0.0,0.0,0.0,0.0,0.0,77.0,81.3,,2018,,札幌市,まちづくり、観光、農山漁村・中山間地域、環境の保全、災害救援、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、NPO支援
385,特定非営利活動法人虹色ダイバーシティ,81.5,5千万～,38.2,46.9,38.1,0.1,0.0,42.4,0.0,,2024,○,大阪府,社会教育、男女共同参画、NPO支援
386,権利擁護支援『ぷらっとほーむ』,81.4,5千万～,16.3,20.0,13.2,3.1,0.0,64.8,107.4,,2024,○,名古屋市,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、子どもの健全育成、消費者の保護、NPO支援
387,愛・あいネット,81.3,5千万～,0.1,0.2,0.1,0.0,9.4,46.2,68.7,19,2010,,鹿児島県,保健・医療・福祉、社会教育、まちづくり、環境の保全、子どもの健全育成、情報化社会、職業能力・雇用機会
388,ＨＯＫＫＡＩＤＯしっぽの会,81.3,5千万～,68.9,84.8,67.0,1.9,0.0,11.9,79.2,,2023,○,北海道,社会教育、まちづくり、子どもの健全育成、NPO支援
389,特定非営利活動法人ゆめ風基金,81.1,5千万～,78.6,96.9,55.2,23.4,0.6,1.8,92.9,,2024,○,大阪市,保健・医療・福祉、災害救援、人権の擁護・平和
390,特定非営利活動法人　福祉協会しろやま,80.5,5千万～,0.1,0.1,0.0,0.1,0.1,79.4,87.3,,2024,○,相模原市,保健・医療・福祉
391,特定非営利活動法人　川崎市重度身体障害者の会,80.4,5千万～,0.0,0.1,0.0,0.0,0.0,80.3,79.4,0,2024,,川崎市,保健・医療・福祉、社会教育、人権の擁護・平和
392,東京フィルメックス,80.4,5千万～,24.1,29.9,2.1,22.0,35.6,20.5,69.9,4,2016,,東京都,社会教育、学術・文化・芸術・スポーツ、国際協力・交流、NPO支援
393,特定非営利活動法人はばたく,80.3,5千万～,0.1,0.2,0.1,0.1,1.5,78.5,0.0,4,2020,,大阪市,保健・医療・福祉、NPO支援
394,希福祉会,79.9,5千万～,0.0,0.1,0.0,0.0,0.0,79.9,91.0,10,2016,,岡山県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
395,きよね夢てらす,79.9,5千万～,0.0,0.0,0.0,0.0,0.0,0.0,80.3,4,2024,,岡山県,まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成
396,名取メンタルヘルス協会,79.9,5千万～,0.0,0.0,0.0,0.0,2.1,77.7,90.2,7,2019,,宮城県,保健・医療・福祉
397,特定非営利活動法人リカバリーサポート・ネットワーク,79.8,5千万～,74.3,93.1,15.5,58.8,5.0,0.4,84.9,,2024,○,沖縄県,保健・医療・福祉、社会教育、子どもの健全育成、消費者の保護、NPO支援
398,特定非営利活動法人なこそ授産所,79.3,5千万～,3.0,3.8,2.7,0.3,2.3,73.7,81.6,,2024,○,福島県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成
399,特定非営利活動法人ビッグイシュー日本,78.8,5千万～,66.1,83.9,56.9,9.3,1.5,10.9,81.8,,2024,○,大阪府,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
400,特定非営利活動法人子ども・若もの支援ネットワークおおさか,78.8,5千万～,0.9,1.1,0.8,0.1,74.9,2.8,83.3,,2024,○,大阪府,保健・医療・福祉、社会教育、農山漁村・中山間地域、子どもの健全育成、職業能力・雇用機会、NPO支援
401,特定非営利活動法人自立支援ホームとことこの家,78.3,5千万～,0.7,0.8,0.3,0.4,5.7,71.4,75.6,,2024,○,埼玉県,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、子どもの健全育成
402,特定非営利活動法人クロスロード,78.2,5千万～,0.0,0.0,0.0,0.0,0.4,77.1,79.1,10,2020,,山口県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会、NPO支援
403,特定非営利活動法人　エンゼルあきちゃん,78.0,5千万～,1.1,1.4,1.0,0.1,0.0,76.6,81.2,,2024,○,神奈川県,保健・医療・福祉、学術・文化・芸術・スポーツ
404,五つ葉福祉会,77.6,5千万～,0.0,0.0,0.0,0.0,0.5,76.8,69.4,11,2024,,長野県,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、子どもの健全育成、経済活動の活性化、職業能力・雇用機会
405,特定非営利活動法人　リーフ,76.8,5千万～,0.0,0.0,0.0,0.0,0.0,76.6,84.0,,2017,,徳島県,保健・医療・福祉、社会教育、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会
406,特定非営利活動法人乙訓やよい福祉会,76.7,5千万～,0.1,0.1,0.0,0.1,0.0,76.5,75.5,5,2019,,京都府,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、職業能力・雇用機会、NPO支援
407,特定非営利活動法人めぐみ,76.5,5千万～,0.0,0.0,0.0,0.0,0.7,75.8,75.2,,2021,,埼玉県,保健・医療・福祉
408,霧多布湿原ナショナルトラスト,76.5,5千万～,24.0,31.4,21.6,2.4,3.2,48.6,62.0,,2023,○,北海道,社会教育、まちづくり、環境の保全、国際協力・交流、子どもの健全育成
409,ＮＰＯ法人コクレオの森,76.5,5千万～,3.4,4.4,2.2,1.1,1.6,71.3,73.7,,2024,○,大阪府,社会教育、まちづくり、環境の保全、子どもの健全育成、NPO支援
410,ふるさと,76.4,5千万～,0.0,0.0,0.0,0.0,0.8,72.5,76.4,15,2022,,和歌山県,保健・医療・福祉、社会教育、まちづくり、地域安全、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会、NPO支援
411,特定非営利活動法人Happy Space ゆうゆうゆう,76.3,5千万～,0.7,0.9,0.6,0.2,0.1,75.4,75.8,,2024,○,山梨県,保健・医療・福祉、社会教育、子どもの健全育成、NPO支援
412,ふくでハッピーハンズ,76.2,5千万～,2.4,3.2,2.3,0.1,0.3,73.4,64.1,11,2022,,静岡県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会
413,特定非営利活動法人クオリティライフ,76.0,5千万～,0.1,0.1,0.1,0.0,1.1,74.4,72.8,10,2021,,香川県,保健・医療・福祉
414,特定非営利活動法人  ワーカーズ・コレクティブたすけあい磯子,75.7,5千万～,0.2,0.3,0.0,0.2,0.3,75.1,73.9,6,2017,,横浜市,保健・医療・福祉
415,特定非営利活動法人　宇陀市障害者事業団,75.6,5千万～,0.0,0.0,0.0,0.0,68.0,1.2,76.1,7,2025,,奈良県,保健・医療・福祉、社会教育、人権の擁護・平和、国際協力・交流、経済活動の活性化、職業能力・雇用機会、NPO支援
416,認定ＮＰＯ法人森のＥＣＨＩＣＡ,75.5,5千万～,2.8,3.7,1.2,1.6,1.0,71.3,63.0,,2024,○,埼玉県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、NPO支援
417,特定非営利活動法人コミュニティケア街ねっと,75.3,5千万～,5.0,6.6,0.7,4.3,0.1,70.3,75.1,,2024,○,千葉市,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、子どもの健全育成、消費者の保護、NPO支援
418,特定非営利活動法人　Ｋ．Ｈ．Ｇ,75.2,5千万～,1.0,1.3,1.0,0.0,6.7,65.6,61.6,11,2011,,長崎県,保健・医療・福祉、社会教育
419,特定非営利活動法人  ＡＲＣＳＨＩＰ,75.1,5千万～,0.9,1.2,0.6,0.3,0.0,72.7,77.1,,2024,○,横浜市,学術・文化・芸術・スポーツ
420,だいじょうぶ,75.0,5千万～,5.9,7.9,5.3,0.6,14.1,55.1,73.7,8,2024,,岐阜県,保健・医療・福祉、まちづくり、環境の保全、国際協力・交流、子どもの健全育成、NPO支援
421,認定NPO法人郡山ペップ子育てネットワーク,75.0,5千万～,7.0,9.3,4.3,2.6,68.0,0.0,99.4,,2024,○,福島県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
422,居場所サポートクラブロベ,74.7,5千万～,2.1,2.8,1.9,0.2,33.5,35.8,67.7,,2024,○,茨城県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、地域安全、子どもの健全育成、職業能力・雇用機会
423,特定非営利活動法人北海道ＮＰＯファンド,74.5,5千万～,2.4,3.3,2.4,0.1,70.3,1.8,79.6,,2023,○,札幌市,NPO支援
424,特定非営利活動法人コミュニティ・サポートセンター神戸,74.4,5千万～,11.7,15.8,11.1,0.6,53.2,53.2,81.7,,2024,○,神戸市,保健・医療・福祉、まちづくり、NPO支援
425,かのや健康・スポーツクラブ,74.4,5千万～,13.1,17.5,0.0,13.1,50.0,11.0,74.4,,2017,,鹿児島県,保健・医療・福祉、学術・文化・芸術・スポーツ
426,特定非営利活動法人子どものみらい尼崎,74.3,5千万～,0.7,0.9,0.5,0.2,0.4,73.1,74.2,,2024,○,兵庫県,まちづくり、男女共同参画、子どもの健全育成、NPO支援
427,大樹の輪,74.2,5千万～,0.0,0.0,0.0,0.0,0.0,74.1,60.1,,2021,,東京都,保健・医療・福祉、まちづくり、人権の擁護・平和、消費者の保護、NPO支援
428,特定非営利活動法人えるたす,74.2,5千万～,0.0,0.1,0.0,0.0,3.3,69.4,67.0,11,2017,,大阪府,保健・医療・福祉
429,特定非営利活動法人　エバーラスティング・ネイチャー,74.1,5千万～,17.0,23.0,16.4,0.6,27.6,29.4,68.1,,2024,○,神奈川県,環境の保全、国際協力・交流
430,どろんこ会,74.0,5千万～,0.8,1.1,0.5,0.3,9.8,61.9,74.2,4,2024,,東京都,保健・医療・福祉、まちづくり、人権の擁護・平和
431,特定非営利活動法人　おてらおやつクラブ,73.7,5千万～,55.7,75.5,49.9,5.8,12.0,5.0,88.2,,2024,○,奈良県,社会教育、男女共同参画、子どもの健全育成
432,特定非営利活動法人　Ｗｉｔｈ優,73.7,5千万～,4.7,6.4,3.3,1.5,0.8,57.2,0.0,,2024,○,山形県,子どもの健全育成
433,ありがとう,73.6,5千万～,0.1,0.1,0.0,0.1,0.0,73.5,71.7,20,2016,,岡山県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成
434,環境リレーションズ研究所,73.5,5千万～,54.9,74.7,54.8,0.1,5.7,12.9,72.0,2,2016,○,東京都,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、国際協力・交流、子どもの健全育成、NPO支援
435,えんしゅう生活支援net,73.0,5千万～,1.1,1.5,0.0,1.1,10.4,66.8,63.3,15,2024,,浜松市,保健・医療・福祉、まちづくり、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会、NPO支援
436,豊島子どもＷＡＫＵＷＡＫＵネットワーク,72.8,5千万～,25.2,34.6,25.0,0.1,32.2,15.5,68.3,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、子どもの健全育成、NPO支援
437,特定非営利活動法人環境ネットワーク埼玉,72.8,5千万～,6.4,8.8,5.7,0.7,0.0,66.4,65.0,,2024,○,さいたま市,環境の保全、NPO支援
438,アトピッ子地球の子ネットワーク,72.5,5千万～,5.3,7.3,4.4,0.9,61.5,5.7,47.2,5,2016,○,東京都,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
439,特定非営利活動法人　藤沢市民活動推進機構,72.5,5千万～,1.2,1.7,1.1,0.1,59.5,11.6,67.0,,2024,○,神奈川県,まちづくり、NPO支援
440,特定非営利活動法人　ぼくら・あそび隊・流,72.4,5千万～,1.5,2.1,1.5,0.0,0.7,0.5,71.4,,2024,○,愛知県,保健・医療・福祉
441,特定非営利活動法人静岡市里親家庭支援センター,72.2,5千万～,6.5,9.0,6.0,0.5,0.5,65.2,64.7,,2024,○,静岡市,保健・医療・福祉、子どもの健全育成、NPO支援
442,認定特定非営利活動法人富士山クラブ,71.8,5千万～,3.9,5.5,1.1,2.8,50.4,15.0,0.0,,2024,○,山梨県,まちづくり、学術・文化・芸術・スポーツ、環境の保全、国際協力・交流、子どもの健全育成、NPO支援
443,ドリーム鹿屋,71.6,5千万～,0.0,0.0,0.0,0.0,0.8,69.6,68.8,6,2018,,鹿児島県,保健・医療・福祉、職業能力・雇用機会
444,ま・わ・た,71.5,5千万～,7.5,10.4,7.3,0.1,3.1,60.7,59.7,6,2024,,栃木県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、情報化社会、NPO支援
445,茨城依存症回復支援協会,71.5,5千万～,2.7,3.8,2.5,0.2,0.0,56.0,68.9,12,2017,,茨城県,保健・医療・福祉、人権の擁護・平和、職業能力・雇用機会
446,わたげ,71.0,5千万～,0.6,0.8,0.6,0.0,0.0,70.4,68.7,,2023,,東京都,保健・医療・福祉、まちづくり、人権の擁護・平和、子どもの健全育成
447,特定非営利活動法人宝塚ＮＰＯセンター,70.7,5千万～,0.5,0.7,0.5,0.0,6.7,81.2,69.1,,2024,○,兵庫県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
448,特定非営利活動法人地域精神保健福祉機構（略称：COMHBO（コンボ））,70.6,5千万～,33.0,46.7,3.2,29.8,7.7,28.4,77.6,,2023,○,千葉県,保健・医療・福祉、社会教育、国際協力・交流、職業能力・雇用機会、NPO支援
449,特定非営利活動法人東灘地域助け合いネットワーク,70.5,5千万～,1.2,1.8,1.2,0.1,0.2,67.0,65.8,7,2017,○,神戸市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、子どもの健全育成、NPO支援
450,特定非営利活動法人　後藤会,70.4,5千万～,0.0,0.0,0.0,0.0,1.2,68.9,83.9,18,2019,,熊本市,保健・医療・福祉、まちづくり、NPO支援
451,特定非営利活動法人なおみの会,70.3,5千万～,1.3,1.8,1.1,0.2,2.6,65.1,63.8,,2024,○,福岡県,保健・医療・福祉、まちづくり、職業能力・雇用機会
452,特定非営利活動法人緑とくらしの学校,70.3,5千万～,0.3,0.4,0.0,0.3,0.0,0.0,70.8,,2024,○,新潟県,社会教育、まちづくり、環境の保全
453,特定非営利活動法人　アイ・アム,70.1,5千万～,0.2,0.3,0.2,0.0,5.2,1.0,72.8,,2024,○,横浜市,保健・医療・福祉
454,特定非営利活動法人　和（なごみ）,69.7,5千万～,0.6,0.8,0.3,0.3,0.6,67.4,72.4,,2024,○,愛知県,保健・医療・福祉
455,特定非営利活動法人アメラジアンスクール・イン・オキナワ,69.5,5千万～,2.9,4.2,1.8,1.1,23.6,42.9,62.1,16,2024,○,沖縄県,学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、子どもの健全育成、NPO支援
456,ＨＡＮＤＳ（Ｈｅａｌｔｈ　ａｎｄ　Ｄｅｖｅｌｏｐｍｅｎｔ　Ｓｅｒｖｉｃｅ）,69.3,5千万～,9.6,13.9,9.1,0.5,35.7,23.1,80.1,,unknown,○,東京都,保健・医療・福祉、国際協力・交流、NPO支援
457,特定非営利活動法人カルチャーネットさばえ,69.3,5千万～,0.0,0.1,0.0,0.0,0.0,69.0,68.2,,2018,,福井県,まちづくり、学術・文化・芸術・スポーツ、NPO支援
458,特定非営利活動法人　てらす,69.2,5千万～,0.0,0.0,0.0,0.0,57.9,3.5,61.2,3,2021,,奈良県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、地域安全、人権の擁護・平和、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
459,特定非営利活動法人　大けやきフォーラム,69.1,5千万～,0.1,0.2,0.0,0.1,0.0,69.0,69.1,10,2022,,山形県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、男女共同参画、子どもの健全育成、NPO支援
460,特定非営利活動法人　愛知シュタイナー学園,69.1,5千万～,8.5,12.3,7.7,0.8,0.0,60.6,71.6,,2024,○,愛知県,社会教育、学術・文化・芸術・スポーツ、子どもの健全育成
461,長野県ＮＰＯセンター,69.0,5千万～,2.4,3.4,1.9,0.4,9.5,51.6,60.2,,2024,○,長野県,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、環境の保全、災害救援、人権の擁護・平和、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
462,ピープルズ・ホープ・ジャパン,68.8,5千万～,42.1,61.3,14.8,27.3,26.6,0.0,67.2,6,2024,○,東京都,保健・医療・福祉、災害救援、国際協力・交流
463,カサ　デ　オリーバ,68.6,5千万～,0.5,0.8,0.5,0.1,0.2,59.6,69.3,5,2023,,東京都,保健・医療・福祉、人権の擁護・平和
464,リバティ,68.3,5千万～,0.0,0.1,0.0,0.0,0.0,68.2,73.8,7,2020,,岐阜県,保健・医療・福祉
465,特定非営利活動法人　市民活動サークルえん,68.0,5千万～,0.0,0.0,0.0,0.0,4.2,63.8,55.8,8,2024,,奈良県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
466,名古屋おやこセンター,67.8,5千万～,5.2,7.7,4.4,0.8,59.1,3.3,64.2,14,2020,,名古屋市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、NPO支援
467,ＮＰＯ法人kokoima,67.8,5千万～,32.2,47.5,32.0,0.2,2.0,32.4,31.6,5,2020,,堺市,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和
