財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
26,かものはしプロジェクト,571.4,5億～,499.0,87.3,113.1,385.9,67.8,3.1,598.4,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
27,ＮＰＯ法人　ぐるーぷ藤,559.2,5億～,23.4,4.2,23.3,0.0,28.8,496.2,571.9,,2024,○,神奈川県,保健・医療・福祉、まちづくり、NPO支援
28,認定NPO法人はばたけ手をつなぐ育成会,556.1,5億～,2.1,0.4,1.7,0.4,142.5,336.6,397.8,,2024,○,兵庫県,保健・医療・福祉、社会教育、人権の擁護・平和、職業能力・雇用機会、NPO支援
29,育て上げネット,555.6,5億～,112.1,20.2,111.9,0.2,161.2,282.3,521.1,71,2021,○,東京都,社会教育、子どもの健全育成、職業能力・雇用機会、NPO支援
30,ＮＰＯ法人カローレ,540.1,5億～,1.2,0.2,0.2,1.1,3.4,534.6,497.1,,2024,○,埼玉県,まちづくり、男女共同参画、子どもの健全育成
31,特定非営利活動法人出発のなかまの会,523.2,5億～,4.4,0.8,4.1,0.4,0.2,442.5,366.4,,2024,○,大阪市,保健・医療・福祉
32,認定ＮＰＯ法人さわおとの森,513.9,5億～,3.3,0.6,2.2,1.1,13.7,484.1,506.6,,2024,○,宮城県,保健・医療・福祉、社会教育、子どもの健全育成
33,チャイルド・ファンド・ジャパン,505.0,5億～,363.4,72.0,363.2,0.3,132.6,0.0,525.9,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
34,特定非営利活動法人　こらぼネット・かながわ,492.9,1億～,0.0,0.0,0.0,0.0,112.7,372.3,0.0,,2024,○,横浜市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
35,日本防災士機構,449.4,1億～,1.8,0.4,1.6,0.2,0.0,444.0,0.0,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、環境の保全、災害救援、地域安全、国際協力・交流、NPO支援
36,日本地雷処理を支援する会,440.5,1億～,75.1,17.1,71.3,3.8,362.3,3.0,454.0,,unknown,○,東京都,社会教育、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、NPO支援
37,特定非営利活動法人  療育ねっとわーく川崎,440.1,1億～,1.9,0.4,1.2,0.7,17.7,420.3,439.9,,2024,○,川崎市,保健・医療・福祉
38,ＪＥＮ,431.8,1億～,47.7,11.0,47.3,0.4,363.2,0.2,387.2,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
39,特定非営利活動法人アイ・キャン,424.5,1億～,0.2,0.1,0.0,0.2,0.7,225.4,430.0,,2024,○,福島県,保健・医療・福祉、まちづくり、NPO支援
40,特定非営利活動法人エルタ,423.6,1億～,0.8,0.2,0.1,0.7,37.7,384.5,424.0,,2024,○,福島県,保健・医療・福祉、NPO支援
41,ポパイ,419.0,1億～,0.9,0.2,0.2,0.8,22.6,394.7,400.5,100,2024,○,名古屋市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、職業能力・雇用機会
42,特定非営利活動法人なごみ,416.3,1億～,0.0,0.0,0.0,0.0,19.4,395.0,0.0,50,2017,,京都市,保健・医療・福祉
43,全国災害ボランティア支援団体ネットワーク,414.4,1億～,148.3,35.8,139.9,8.4,18.9,242.0,303.3,,unknown,○,東京都,災害救援、地域安全、NPO支援
44,ちえのわ福祉会,402.5,1億～,0.6,0.1,0.6,0.0,1.8,396.1,349.9,80,2016,,岩手県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、情報化社会、NPO支援
45,特定非営利活動法人暮らしネット・えん,393.6,1億～,22.7,5.8,22.4,0.4,4.1,366.0,386.1,,2024,○,埼玉県,保健・医療・福祉、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
46,特定非営利活動法人AMDA社会開発機構,390.2,1億～,50.6,13.0,48.5,2.2,188.1,39.3,411.5,17,2023,○,岡山市,保健・医療・福祉、社会教育、国際協力・交流、NPO支援
47,シャプラニール＝市民による海外協力の会,383.0,1億～,11.8,3.1,0.0,11.8,242.7,18.0,0.0,,unknown,○,東京都,社会教育、学術・文化・芸術・スポーツ、災害救援、人権の擁護・平和、国際協力・交流、子どもの健全育成、NPO支援
48,特定非営利活動法人　どりーまぁサービス,380.9,1億～,0.0,0.0,0.0,0.0,0.0,375.2,376.0,,2018,,徳島県,保健・医療・福祉
49,認定ＮＰＯ法人　ＩＶＹ,371.3,1億～,1.5,0.4,1.5,0.0,363.3,0.3,362.9,,2024,○,山形県,保健・医療・福祉、社会教育、国際協力・交流
50,特定非営利活動法人 トムトム,365.9,1億～,0.8,0.2,0.3,0.4,1.8,352.3,366.0,,2024,○,神奈川県,保健・医療・福祉、子どもの健全育成
51,ブリッジフォースマイル,356.9,1億～,129.6,36.3,128.7,0.9,14.7,212.7,338.2,,unknown,○,東京都,社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会、NPO支援
52,特定非営利活動法人　地球市民の会,356.9,1億～,25.6,7.2,22.8,2.8,317.7,13.5,272.6,,2024,○,佐賀県,社会教育、まちづくり、環境の保全、災害救援、国際協力・交流、子どもの健全育成
53,ブックスタート,352.0,1億～,3.9,1.1,0.1,3.8,0.0,348.0,349.9,11,2024,,東京都,学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、NPO支援
54,特定非営利活動法人ロシナンテス,351.7,1億～,282.9,80.4,282.2,0.6,57.6,9.9,274.1,,2024,○,北九州市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、災害救援、国際協力・交流
55,特定非営利活動法人　びーのびーの,345.6,1億～,3.6,1.0,2.9,0.7,178.5,163.5,333.5,,2024,○,横浜市,保健・医療・福祉、子どもの健全育成
56,日本医療政策機構,340.7,1億～,277.8,81.5,215.9,62.0,26.1,35.4,294.8,,unknown,○,東京都,保健・医療・福祉、学術・文化・芸術・スポーツ
57,特定非営利活動法人　フードバンク愛知,340.5,1億～,6.3,1.8,6.3,0.0,334.3,0.0,338.5,,2024,○,愛知県,災害救援、国際協力・交流
58,ひだまりの丘,332.8,1億～,0.5,0.2,0.5,0.0,0.2,1.9,322.2,,2024,○,名古屋市,保健・医療・福祉、社会教育、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
59,のぞみ,331.0,1億～,0.0,0.0,0.0,0.0,22.9,308.1,316.9,40,2020,,鹿児島県,保健・医療・福祉、社会教育、職業能力・雇用機会、NPO支援
60,今治しまなみスポーツクラブ,330.0,1億～,5.5,1.7,5.5,0.0,0.0,315.0,331.6,,2024,○,愛媛県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
61,ホームホスピス宮崎,325.8,1億～,6.2,1.9,5.9,0.2,6.8,306.1,366.1,,2024,○,宮崎県,保健・医療・福祉、社会教育、まちづくり、環境の保全、災害救援、地域安全、人権の擁護・平和、子どもの健全育成、情報化社会、職業能力・雇用機会、NPO支援
62,潮騒ジョブトレーニングセンター,322.8,1億～,0.7,0.2,0.7,0.0,257.2,62.8,320.2,,2019,,茨城県,保健・医療・福祉、社会教育、人権の擁護・平和、職業能力・雇用機会
63,つくし,316.0,1億～,2.4,0.8,1.7,0.8,22.7,290.5,384.3,39,2021,○,名古屋市,保健・医療・福祉、社会教育、子どもの健全育成、職業能力・雇用機会
